having taken; having grabbed hold (of)	gahetvā (abs. of gaṇhāti)
theft; stealing; lit. taking what is not given	adinnādāna (nt.)
king; ruler	rāja (m.)
The sort of stealing for which kings, having caught a thief...	Yathārupe adinnādāne rājāno coraṁ gahetvā...
gives up; abandons	pajahati
giving up; abandoning	pahāya (ger. of pajahati)
obstacle; obstruction; hindrance; lit. blocking	nīvaraṇa (m.)
having abandoned the five hindrances	pañca nīvaraṇe pahāya
exhausts, takes up in a excessive degree	pariyādāti
(1) wearing away; exhausting (2) obsessing; overpowering; lit. completely seizing	pariyādāya
mind; heart; mental act	citta (nt.)
having taken over the mind, it remains	cittaṁ pariyādāya tiṭṭhati
Having heard that teaching we know thus...	Mayaṁ taṁ dhammaṁ sutvā evaṁ jānāma...
greets	sammodati
greeted	sammodi (aor. of sammodati)
Having approached, he greeted the Blessed One.	Upasaṅkamitvā bhagavatā saddhiṁ sammodi.
discomfort; suffering; unease; stress	dukkha (nt.)
escape; exit; way out	nissaraṇa (nt.)
personal; lit. see for oneself	sacchi (adj.)
realizing; achieving; attaining; lit. doing personally	sacchikaraṇa (nt.)
For the personal achieving of the escape (and) extinguishing of all suffering	Sabbadukkha nissaraṇa nibbāna sacchikaranatthāya ...
ochre robe	kāsāva (nt.)
compassion; pity	anukampā (f.)
takes; grasps (onto); lit. takes near	upādiyati
taking; grasping (onto); lit. taking near	upādāya (ger. of upādiyati)
out of compassion; lit. taking pity	anukampaṁ upādāya (idiom)
(1) banishes; drives away (2) makes ordain; ordains; lit. causes to leave	pabbājeti
Having given this robe, may you let me go forth Sir, out of compassion.	... etaṁ kāsāvaṁ datvā, pabbājetha maṁ bhante, anukampaṁ upādāya.
seclusion; discrimination	viveka (m.)
does not get to; does not obtain	nādhigacchati
wanting; lit. over thinking	abhijjhā (f.)
ill will; lit. going wrong	byāpāda (m.)
dullness; sloth	thinamiddha (nt.)
restlessness; agitation	uddhaccakukkucca (nt.)
doubt; uncertainty	vicikicchā (f.)
discontent; dislike	aratī (f.)
laziness; tiredness	tandī (f.)
delight; joy; rapture; feeling of love	pīti (f.)
ease; comfort; happiness; bliss	sukha (nt)
he doesn't achieve rapture and bliss	pītisukhaṁ nādhigacchati
preference; approval	ruci (f.)
stays; dwells	vasati
He speaks with our given consent and approval.	Chandañca ruciñca ādāya voharati.
He, having gone there, comes here.	So tatra gantvā idha āgacchati.
After sitting down there, he stands up from there.	So tatra nisīditvā tato uṭṭhāti / uṭṭhahati.
After staying here today, tomorrow we go there.	Mayaṁ ajja idha vasitvā suve tahiṁ gacchāma.
Having come here, having cooked, they go.	Te idha āgantvā pacitvā gacchanti.
Having eaten, having drunk, you lie down.	Tvaṁ buñjitvā pivitvā sayasi.
(1) thinks (about) (2) meditates; contemplates (3) broods (4) burns	jhāyati
soot; ash	masi (m.)
steals; robs	coreti
punishment; fine	daṇḍa (m.)
imposes (on); inflicts (on)	paṇeti
inflicts punishment; imposes a fine	daṇḍaṁ paṇeti (idiom)
If, after stealing, he might come here, I may punish (him).	Sace so coretvā idha āgacceyya, daṇḍaṁ paṇeyyāmi.
cries; weeps; wails	rodati
Sitting here, don't cry, go there, having gone and eaten, lie down.	Idha nisīditvā mā rodāhi, tatra gacchāhi, gantvā bhutvā sayāhi.
After burning the tree with fire, they may make ash.	Rukkhaṁ agginā jhāpetvā masiṁ kareyya.
with/by mind; with thought	cetasā (m.)
over; on; around (prefix)	anu-
ponders; reflects; thinks about	anuvitakketi
sees; takes a look (at)	pekkhati
mentally examines	manasānupekkhati
day	diva (m.) / divasa (nt.)
(of time) passes; spends; wastes	atināmeti
neglects; omits	riñcati
privacy; solitude; lit. sticking to oneself	paṭisallāna (nt.)
practices; engages in; lit. yokes near	anuyuñjati
this; this person; this thing	ayaṁ (pron.)
speaks	vacati
is said to be; is called	vuccati (pass. of vacati)
laughs; jokes	sañjagghati
plays (with); has fun (with)	kīḷati
playing together	saṅkīḷati [saṁ + √kīḷ]
has fun; amuses oneself (with)	saṅkelāyati (from kīḷati)
meditates (on); contemplates; reflects (on)	upanijjhāyati
relishes; takes pleasure (in)	assādeti
desires; longs (for)	nikāmeti
joy; happiness; pleasure; lit. gain	vitti (f.)
gets pleasure/pain; produces; engages in	āpajjati
finds satisfaction (in)	vittiṁ āpajjati (idiom)
(1) piece; part (2) broken; defective (3) chip; break; failure	khaṇḍa (m.)
hole; crack	chidda (nt.)
blotched; stained	sabala (adj.)
spotted; blemished	kammāsa (adj.)
on the holy life a defect, crack, stain, blemish	brahmacariyassa khaṇḍampi chiddampi sabalampi kammāsampi
