silver coin; money; cash	rūpiya (nt.)	
in the presence (of); near (to)	santike (ind.)	
I have (in my presence there are)	mama santike santi (idiom)	
Who are you?	Ko'si tvaṁ?	s
I am a way-farer.	Aham eko pathiko.	s
Where do you come from?	Kuto tvam āgacchasi?	s
I come from India.	Ahaṁ Indudesato āgacchāmi.	s
For what purpose have you come? (You what to do came?)	Tvaṁ kiṁ kātuṁ āgato'si?	s
I want to sell some goods.	Ahaṁ bhaṇḍāni vikkiṇitum icchāmi.	s
Why did you come here? (Why here came are you?)	Kasmā idh'āgato si?	s
I came here to talk to you. (Wit you to talk came I am.)	Tayā saddhiṁ sallapituṁ āgato'mhi.	s
Who is your father?	Ko tuyhaṁ pitā?	s
My father is the merchant Mahānāma.	Mama pitā Mahānāmo vāṇijo.	s
Who here is your friend?	Ko idha tava mitto?	s
Here, the merchant is my friend.	Idha vāṇijo mayhaṁ mitto hoti.	s
Where do you work? (Where the work you do?)	Kattha tvaṁ kammaṁ karosi?	s
I work in a post-office. (I in one marketplace work I do.)	Aham ekasmiṁ antarāpaṇe kammaṁ karomi.	s
From here, to where do you go?	Ito tvaṁ kuhiṁ gacchasi?	s
I will go to another town from here. (I from here to another town I will go.)	Aham ito aññaṁ nagaraṁ / nigamaṁ gamissāmi.	s
Do you like this place?	Piyāyasi tvam idaṁ ṭhānaṁ?	s
I may like this place, if it doesn't get too hot. (if here not too hot may become).	Piyāyeyyam idaṁ ṭhānaṁ sace'daṁ nāccuṇhaṁ bhaveyya.	s
When will you go home?	Kadā tvaṁ nivesanaṁ gacchissasi / gamissasi?	s
When I get money, then I will go home.	Yadā mūlaṁ labhissāmi, tadā'haṁ gamissāmi.	s
How much (many) money have you now with you?	Kittakaṁ mūlaṁ 'dāni tava santike atthi?	s
I have fourteen rupees.	Cuddasa rūpiyāni mama santike santi.	s
